epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,456.598,1.40531,3.92857,1.6897,0.5017,0.16872,0.12601,0.06627,1.60648,3.6158,2.13122,0.00999093,0.00333031,0.00999093,0.00333031,0.00999093,0.00333031,0.00999093,0.00333031
2,772.667,1.43032,3.03208,1.65486,0.53527,0.15241,0.14079,0.07687,1.61285,3.24278,2.05692,0.0195951,0.0065317,0.0195951,0.0065317,0.0195951,0.0065317,0.0195951,0.0065317
3,1057.83,1.49032,2.90908,1.68472,0.67804,0.10831,0.12057,0.0671,1.67395,3.15028,2.13114,0.0288033,0.0096011,0.0288033,0.0096011,0.0288033,0.0096011,0.0288033,0.0096011
4,1337.9,1.52373,2.76245,1.6944,0.50402,0.23729,0.20746,0.11001,1.578,2.40386,2.00158,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1610.35,1.47544,2.52808,1.64607,0.53871,0.23863,0.22007,0.12581,1.55096,2.24082,1.95373,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1891.3,1.44242,2.38261,1.61853,0.48918,0.31278,0.30404,0.18001,1.46769,2.01517,1.87234,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2176.32,1.4106,2.26934,1.59088,0.55301,0.36536,0.31283,0.18612,1.44359,1.81867,1.8394,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2468.95,1.39462,2.17599,1.5811,0.49102,0.39426,0.37826,0.22926,1.43566,1.74369,1.82589,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2755.01,1.37599,2.10784,1.56187,0.47747,0.40783,0.37872,0.22224,1.42374,1.65722,1.81907,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,3042.8,1.35878,2.03194,1.54889,0.47206,0.43135,0.40063,0.24818,1.38311,1.60193,1.78127,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,3328.53,1.35037,1.98377,1.53759,0.4924,0.41591,0.40391,0.24405,1.39968,1.5837,1.79225,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,3611.91,1.33379,1.94582,1.52626,0.4853,0.44144,0.42278,0.25932,1.3821,1.52617,1.77149,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,3898.52,1.32587,1.89995,1.52121,0.53251,0.44812,0.45252,0.27743,1.38241,1.45111,1.76274,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
